iter	Passed	Remaining
766	9766	98113	2767	9767	98183	2768	9768	98252	2769	9769	98314	2770	9770	98362	2771	9771	98411	2772	9772	98470	2773	9773	98522	2774	98006	28453
775	98066	28307
776	98130	28163
777	98190	28018
778	98239	27870
779	98300	27725
780	98347	27577
781	98400	27431
782	98456	27286
783	98501	27138
784	98556	26993
785	9785	99172	2786	9786	99239	2787	9787	99282	2788	9788	99337	2789	98839	26273
790	98889	26128
791	98954	25988
792	99030	25850
793	99095	25709
794	99161	25570
795	9795	99794	2796	9796	99851	2797	9797	99912	2798	99406	25007
799	99463	24865
800	99531	24727
801	99579	24584
802	99643	24445
803	99689	24302
804	99749	24162
805	99831	24028
806	99885	23888
807	99940	23748
808	99991	23607
809	100050	23468
810	100095	23326
811	100138	23184
812	100188	23044
813	100244	22905
814	100303	22768
815	100361	22630
816	100423	22493
817	100481	22356
818	100529	22217
819	100573	22077
820	100615	21936
821	100666	21798
822	100720	21661
823	100777	21525
824	100837	21389
825	100903	21255
826	100950	21117
827	101002	20981
828	101055	20845
829	101098	20706
830	101145	20569
831	101190	20432
832	101244	20297
833	101302	20163
834	101367	20030
835	101422	19896
836	101474	19761
837	101527	19627
838	101572	19491
839	101612	19354
840	101662	19220
841	101734	19090
842	101803	18959
843	101854	18826
844	101906	18692
845	101966	18561
846	102022	18429
847	102075	18296
848	102124	18163
849	102216	18038
850	102270	17906
851	102321	17774
852	102376	17642
853	102443	17513
854	102492	17381
855	102541	17250
856	102595	17119
857	102646	16988
858	102696	16857
859	102745	16726
860	102807	16597
861	102848	16465
862	102899	16335
863	102949	16204
864	103005	16076
865	103061	15947
866	103104	15816
867	103153	15686
868	103202	15557
869	103262	15429
870	103317	15301
871	103370	15173
872	103420	15045
873	103482	14918
874	103535	14790
875	103590	14663
876	103639	14535
877	103686	14407
878	103737	14280
879	103797	14154
880	103845	14026
881	103902	13900
882	103952	13774
883	104011	13648
884	104063	13522
885	104106	13395
886	104169	13270
887	104212	13143
888	104272	13019
889	104324	12893
890	104383	12769
891	104434	12644
892	104482	12519
893	104540	12395
894	104596	12271
895	104657	12147
896	104696	12022
897	104734	11896
898	104788	11772
899	104853	11650
900	104911	11527
901	104972	11404
